Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
EVM-PWEB02-RNEC;Minimum CPU Load (%);16/12/2021 4:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);16/12/2021 4:49;3;;EVM-PWEB02-RNEC;Average CPU Load (%);16/12/2021 4:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);17/12/2021 5:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);17/12/2021 5:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);17/12/2021 5:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);18/12/2021 0:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);18/12/2021 0:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);18/12/2021 0:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);19/12/2021 1:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);19/12/2021 1:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);19/12/2021 1:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);20/12/2021 2:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);20/12/2021 2:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);20/12/2021 2:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);21/12/2021 3:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);21/12/2021 3:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);21/12/2021 3:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);22/12/2021 4:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);22/12/2021 4:34;2;;EVM-PWEB02-RNEC;Average CPU Load (%);22/12/2021 4:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);23/12/2021 5:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);23/12/2021 5:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);23/12/2021 5:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);24/12/2021 0:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);24/12/2021 0:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);24/12/2021 0:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);25/12/2021 1:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);25/12/2021 1:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);25/12/2021 1:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);26/12/2021 2:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);26/12/2021 2:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);26/12/2021 2:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);27/12/2021 3:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);27/12/2021 3:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);27/12/2021 3:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);28/12/2021 4:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);28/12/2021 4:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);28/12/2021 4:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);29/12/2021 5:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);29/12/2021 5:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);29/12/2021 5:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);30/12/2021 0:04;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);30/12/2021 0:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);30/12/2021 0:04;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);31/12/2021 1:04;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);31/12/2021 1:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);31/12/2021 1:04;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);1/01/2022 2:04;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);1/01/2022 2:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);1/01/2022 2:04;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);2/01/2022 3:04;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);2/01/2022 3:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);2/01/2022 3:04;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);3/01/2022 4:04;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);3/01/2022 4:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);3/01/2022 4:04;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);4/01/2022 5:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);4/01/2022 5:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);4/01/2022 5:04;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);5/01/2022 6:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);5/01/2022 6:04;2;;EVM-PWEB02-RNEC;Average CPU Load (%);5/01/2022 6:04;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);6/01/2022 0:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);6/01/2022 0:49;2;;EVM-PWEB02-RNEC;Average CPU Load (%);6/01/2022 0:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);7/01/2022 1:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);7/01/2022 1:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);7/01/2022 1:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);8/01/2022 2:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);8/01/2022 2:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);8/01/2022 2:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);9/01/2022 3:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);9/01/2022 3:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);9/01/2022 3:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);10/01/2022 4:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);10/01/2022 4:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);10/01/2022 4:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);11/01/2022 5:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);11/01/2022 5:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);11/01/2022 5:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);12/01/2022 0:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);12/01/2022 0:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);12/01/2022 0:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);13/01/2022 1:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);13/01/2022 1:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);13/01/2022 1:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);14/01/2022 2:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);14/01/2022 2:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);14/01/2022 2:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);15/01/2022 3:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);15/01/2022 3:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);15/01/2022 3:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);16/01/2022 4:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);16/01/2022 4:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);16/01/2022 4:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);17/01/2022 5:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);17/01/2022 5:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);17/01/2022 5:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);18/01/2022 0:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);18/01/2022 0:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);18/01/2022 0:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);18/01/2022 6:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);18/01/2022 6:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);18/01/2022 6:34;0.5
EVM-PWEB02-RNEC;Minimum CPU Load (%);18/01/2022 12:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);18/01/2022 12:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);18/01/2022 12:49;0.166666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);18/01/2022 19:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);18/01/2022 19:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);18/01/2022 19:04;0.142857143
EVM-PWEB02-RNEC;Minimum CPU Load (%);19/01/2022 1:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);19/01/2022 1:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);19/01/2022 1:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);19/01/2022 7:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);19/01/2022 7:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);19/01/2022 7:34;0.166666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);19/01/2022 13:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);19/01/2022 13:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);19/01/2022 13:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);19/01/2022 20:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);19/01/2022 20:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);19/01/2022 20:04;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);20/01/2022 2:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);20/01/2022 2:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);20/01/2022 2:19;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);20/01/2022 8:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);20/01/2022 8:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);20/01/2022 8:34;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);20/01/2022 14:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);20/01/2022 14:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);20/01/2022 14:49;0
EVM-PWEB02-RNEC;Minimum CPU Load (%);20/01/2022 21:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);20/01/2022 21:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);20/01/2022 21:04;0.142857143
EVM-PWEB02-RNEC;Minimum CPU Load (%);21/01/2022 3:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);21/01/2022 3:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);21/01/2022 3:19;0.166666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);21/01/2022 9:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);21/01/2022 9:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);21/01/2022 9:34;0.166666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);21/01/2022 15:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);21/01/2022 15:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);21/01/2022 15:49;0.333333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);21/01/2022 22:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);21/01/2022 22:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);21/01/2022 22:04;0.571428571
EVM-PWEB02-RNEC;Minimum CPU Load (%);22/01/2022 4:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);22/01/2022 4:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);22/01/2022 4:19;0.5
EVM-PWEB02-RNEC;Minimum CPU Load (%);22/01/2022 10:34;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);22/01/2022 10:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);22/01/2022 10:34;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);22/01/2022 16:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);22/01/2022 16:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);22/01/2022 16:49;0.5
EVM-PWEB02-RNEC;Minimum CPU Load (%);22/01/2022 23:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);22/01/2022 23:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);22/01/2022 23:04;0.571428571
EVM-PWEB02-RNEC;Minimum CPU Load (%);23/01/2022 5:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);23/01/2022 5:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);23/01/2022 5:19;0.333333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);23/01/2022 11:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);23/01/2022 11:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);23/01/2022 11:34;0.833333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);23/01/2022 17:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);23/01/2022 17:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);23/01/2022 17:49;0.666666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);24/01/2022 0:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);24/01/2022 0:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);24/01/2022 0:04;0.714285714
EVM-PWEB02-RNEC;Minimum CPU Load (%);24/01/2022 6:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);24/01/2022 6:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);24/01/2022 6:19;0.833333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);24/01/2022 12:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);24/01/2022 12:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);24/01/2022 12:34;0.666666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);24/01/2022 18:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);24/01/2022 18:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);24/01/2022 18:49;0.833333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);25/01/2022 1:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);25/01/2022 1:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);25/01/2022 1:04;0.571428571
EVM-PWEB02-RNEC;Minimum CPU Load (%);25/01/2022 7:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);25/01/2022 7:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);25/01/2022 7:19;0.833333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);25/01/2022 13:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);25/01/2022 13:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);25/01/2022 13:34;0.833333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);25/01/2022 19:49;1;;EVM-PWEB02-RNEC;Peak CPU Load (%);25/01/2022 19:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);25/01/2022 19:49;1
EVM-PWEB02-RNEC;Minimum CPU Load (%);26/01/2022 2:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);26/01/2022 2:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);26/01/2022 2:04;0.125
EVM-PWEB02-RNEC;Minimum CPU Load (%);26/01/2022 8:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);26/01/2022 8:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);26/01/2022 8:19;0.5
EVM-PWEB02-RNEC;Minimum CPU Load (%);26/01/2022 14:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);26/01/2022 14:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);26/01/2022 14:34;0.666666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);26/01/2022 20:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);26/01/2022 20:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);26/01/2022 20:49;0.833333333
EVM-PWEB02-RNEC;Minimum CPU Load (%);27/01/2022 3:04;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);27/01/2022 3:04;1;;EVM-PWEB02-RNEC;Average CPU Load (%);27/01/2022 3:04;0.714285714
EVM-PWEB02-RNEC;Minimum CPU Load (%);27/01/2022 9:19;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);27/01/2022 9:19;1;;EVM-PWEB02-RNEC;Average CPU Load (%);27/01/2022 9:19;0.666666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);27/01/2022 15:34;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);27/01/2022 15:34;1;;EVM-PWEB02-RNEC;Average CPU Load (%);27/01/2022 15:34;0.666666667
EVM-PWEB02-RNEC;Minimum CPU Load (%);27/01/2022 21:49;0;;EVM-PWEB02-RNEC;Peak CPU Load (%);27/01/2022 21:49;1;;EVM-PWEB02-RNEC;Average CPU Load (%);27/01/2022 21:49;0.666666667
