"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12794-Orion.CPULoad.MinLoad,0_Orion.Nodes_12794-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12794-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:30:00.000Z&endTime=2022-02-15T21:30:00.000Z"")"
Start,2021-12-15 04:30:00,End,2022-02-15 16:30:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-16 05:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-16 05:30:00,29,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-16 05:30:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-17 00:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-17 00:15:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-17 00:15:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-18 01:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-18 01:15:00,16,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-18 01:15:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-19 02:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-19 02:15:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-19 02:15:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-20 03:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-20 03:15:00,17,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-20 03:15:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-21 04:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-21 04:15:00,22,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-21 04:15:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-22 05:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-22 05:15:00,17,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-22 05:15:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-23 00:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-23 00:00:00,10,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-23 00:00:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-24 01:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-24 01:00:00,13,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-24 01:00:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-25 02:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-25 02:00:00,12,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-25 02:00:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-26 03:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-26 03:00:00,8,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-26 03:00:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-27 04:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-27 04:00:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-27 04:00:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-28 05:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-28 05:00:00,18,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-28 05:00:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-29 06:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-29 06:00:00,19,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-29 06:00:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-30 00:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-30 00:45:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-30 00:45:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2021-12-31 01:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2021-12-31 01:45:00,8,,"RNEC-HUBCAS-01","Average CPU Load (%)",2021-12-31 01:45:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-01 02:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-01 02:45:00,11,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-01 02:45:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-02 03:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-02 03:45:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-02 03:45:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-03 04:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-03 04:45:00,14,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-03 04:45:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-04 05:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-04 05:45:00,18,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-04 05:45:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-05 00:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-05 00:30:00,18,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-05 00:30:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-06 01:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-06 01:30:00,18,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-06 01:30:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-07 02:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-07 02:30:00,18,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-07 02:30:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-08 03:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-08 03:30:00,12,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-08 03:30:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-09 04:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-09 04:30:00,9,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-09 04:30:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-10 05:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-10 05:30:00,14,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-10 05:30:00,1,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-11 00:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-11 00:15:00,13,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-11 00:15:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-12 01:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-12 01:15:00,21,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-12 01:15:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-13 02:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-13 02:15:00,22,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-13 02:15:00,4,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-14 03:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-14 03:15:00,19,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-14 03:15:00,5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-15 04:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-15 04:15:00,19,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-15 04:15:00,4,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-16 05:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-16 05:15:00,20,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-16 05:15:00,8,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-17 00:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-17 00:00:00,25,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-17 00:00:00,6,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-18 01:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-18 01:00:00,9,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-18 01:00:00,4,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-18 07:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-18 07:15:00,13,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-18 07:15:00,2.6666666666666665,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-18 13:30:00,1,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-18 13:30:00,14,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-18 13:30:00,5.166666666666667,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-18 19:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-18 19:45:00,18,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-18 19:45:00,5.333333333333333,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-19 02:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-19 02:00:00,12,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-19 02:00:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-19 08:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-19 08:15:00,17,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-19 08:15:00,5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-19 14:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-19 14:30:00,19,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-19 14:30:00,5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-19 20:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-19 20:45:00,17,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-19 20:45:00,4.333333333333333,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-20 03:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-20 03:00:00,17,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-20 03:00:00,3.5714285714285716,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-20 09:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-20 09:15:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-20 09:15:00,4.666666666666667,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-20 15:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-20 15:30:00,20,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-20 15:30:00,5.833333333333333,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-20 21:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-20 21:45:00,17,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-20 21:45:00,4.166666666666667,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-21 04:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-21 04:00:00,13,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-21 04:00:00,4.285714285714286,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-21 10:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-21 10:15:00,19,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-21 10:15:00,5.666666666666667,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-21 16:30:00,1,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-21 16:30:00,16,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-21 16:30:00,6.333333333333333,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-21 22:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-21 22:45:00,24,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-21 22:45:00,5.666666666666667,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-22 05:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-22 05:00:00,11,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-22 05:00:00,2.45,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-22 11:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-22 11:15:00,11,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-22 11:15:00,2,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-22 17:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-22 17:30:00,7,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-22 17:30:00,3.1666666666666665,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-22 23:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-22 23:45:00,9,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-22 23:45:00,2.3333333333333335,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-23 06:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-23 06:00:00,4,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-23 06:00:00,0.8571428571428571,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-23 12:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-23 12:15:00,9,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-23 12:15:00,1.3333333333333333,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-23 18:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-23 18:30:00,7,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-23 18:30:00,1.6666666666666667,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-24 00:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-24 00:45:00,11,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-24 00:45:00,2.5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-24 07:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-24 07:00:00,9,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-24 07:00:00,1.8571428571428572,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-24 13:15:00,1,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-24 13:15:00,19,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-24 13:15:00,5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-24 19:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-24 19:30:00,6,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-24 19:30:00,2.5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-25 01:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-25 01:45:00,10,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-25 01:45:00,2.1176470588235294,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-25 08:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-25 08:00:00,12,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-25 08:00:00,4.571428571428571,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-25 14:15:00,1,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-25 14:15:00,15,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-25 14:15:00,4.5,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-25 20:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-25 20:30:00,22,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-25 20:30:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-26 02:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-26 02:45:00,11,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-26 02:45:00,3.588235294117647,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-26 09:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-26 09:00:00,12,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-26 09:00:00,3.4634146341463414,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-26 15:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-26 15:15:00,10,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-26 15:15:00,3.1666666666666665,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-26 21:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-26 21:30:00,29,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-26 21:30:00,3,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-27 03:45:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-27 03:45:00,8,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-27 03:45:00,1.3333333333333333,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-27 10:00:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-27 10:00:00,8,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-27 10:00:00,2.2857142857142856,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-27 16:15:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-27 16:15:00,9,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-27 16:15:00,2.6666666666666665,,
"RNEC-HUBCAS-01","Minimum CPU Load (%)",2022-01-27 22:30:00,0,,"RNEC-HUBCAS-01","Peak CPU Load (%)",2022-01-27 22:30:00,7,,"RNEC-HUBCAS-01","Average CPU Load (%)",2022-01-27 22:30:00,1.3333333333333333,,
