"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_15658-Orion.CPULoad.MinLoad,0_Orion.Nodes_15658-Orion.CPULoad.MaxLoad,0_Orion.Nodes_15658-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T08:00:00.000Z&endTime=2022-02-15T20:00:00.000Z"")"
Start,2021-12-15 03:00:00,End,2022-02-15 15:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-16 04:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-16 04:00:00,1,,"SLD10-MS-00","Average CPU Load (%)",2021-12-16 04:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-17 05:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-17 05:00:00,2,,"SLD10-MS-00","Average CPU Load (%)",2021-12-17 05:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-18 06:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-18 06:00:00,1,,"SLD10-MS-00","Average CPU Load (%)",2021-12-18 06:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-19 00:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-19 00:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2021-12-19 00:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-20 01:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-20 01:45:00,2,,"SLD10-MS-00","Average CPU Load (%)",2021-12-20 01:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-21 02:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-21 02:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2021-12-21 02:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-22 03:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-22 03:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-22 03:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-23 04:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-23 04:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-23 04:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-24 05:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-24 05:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-24 05:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-25 00:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-25 00:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-25 00:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-26 01:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-26 01:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-26 01:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-27 02:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-27 02:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-27 02:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-28 03:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-28 03:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-28 03:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-29 04:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-29 04:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-29 04:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-30 05:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-30 05:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-30 05:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2021-12-31 00:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2021-12-31 00:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2021-12-31 00:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-01 01:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-01 01:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-01 01:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-02 02:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-02 02:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-02 02:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-03 03:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-03 03:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-03 03:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-04 04:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-04 04:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-04 04:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-05 05:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-05 05:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-05 05:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-06 00:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-06 00:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-06 00:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-07 01:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-07 01:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-07 01:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-08 02:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-08 02:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-08 02:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-09 03:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-09 03:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-09 03:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-10 04:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-10 04:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-10 04:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-11 05:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-11 05:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-11 05:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-12 06:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-12 06:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-12 06:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-13 00:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-13 00:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-13 00:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-14 01:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-14 01:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-14 01:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-15 02:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-15 02:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-15 02:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-16 03:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-16 03:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-16 03:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-17 04:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-17 04:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-17 04:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-18 05:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-18 05:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-18 05:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-18 12:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-18 12:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-18 12:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-18 18:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-18 18:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-18 18:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-19 00:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-19 00:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-19 00:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-19 06:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-19 06:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-19 06:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-19 13:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-19 13:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-19 13:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-19 19:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-19 19:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-19 19:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-20 01:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-20 01:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-20 01:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-20 07:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-20 07:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-20 07:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-20 14:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-20 14:00:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-20 14:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-20 20:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-20 20:15:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-20 20:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-21 02:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-21 02:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-21 02:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-21 08:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-21 08:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-21 08:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-21 15:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-21 15:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-21 15:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-21 21:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-21 21:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-21 21:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-22 03:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-22 03:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-22 03:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-22 09:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-22 09:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-22 09:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-22 16:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-22 16:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-22 16:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-22 22:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-22 22:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-22 22:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-23 04:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-23 04:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-23 04:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-23 10:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-23 10:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-23 10:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-23 17:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-23 17:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-23 17:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-23 23:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-23 23:15:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-23 23:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-24 05:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-24 05:30:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-24 05:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-24 11:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-24 11:45:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-24 11:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-24 18:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-24 18:00:00,0,,"SLD10-MS-00","Average CPU Load (%)",2022-01-24 18:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-25 00:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-25 00:15:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-25 00:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-25 06:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-25 06:30:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-25 06:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-25 12:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-25 12:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-25 12:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-25 19:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-25 19:00:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-25 19:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-26 01:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-26 01:15:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-26 01:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-26 07:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-26 07:30:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-26 07:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-26 13:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-26 13:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-26 13:45:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-26 20:00:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-26 20:00:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-26 20:00:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-27 02:15:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-27 02:15:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-27 02:15:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-27 08:30:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-27 08:30:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-27 08:30:00,0,,
"SLD10-MS-00","Minimum CPU Load (%)",2022-01-27 14:45:00,0,,"SLD10-MS-00","Peak CPU Load (%)",2022-01-27 14:45:00,1,,"SLD10-MS-00","Average CPU Load (%)",2022-01-27 14:45:00,0,,
