"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?presetTime=last12Hours&charts=0_Orion.Nodes_13030-Orion.CPULoad.MinLoad,0_Orion.Nodes_13030-Orion.CPULoad.MaxLoad,0_Orion.Nodes_13030-Orion.CPULoad.AvgLoad;"")"
Start,2022-02-17 04:15:31,End,2022-02-17 16:15:31

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 04:20:46,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 04:20:46,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 04:20:46,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 04:30:46,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 04:30:46,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 04:30:46,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 04:40:46,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 04:40:46,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 04:40:46,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 04:50:46,12,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 04:50:46,12,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 04:50:46,12,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 05:00:46,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 05:00:46,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 05:00:46,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 05:10:46,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 05:10:46,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 05:10:46,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 05:20:46,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 05:20:46,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 05:20:46,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 05:30:46,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 05:30:46,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 05:30:46,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 05:40:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 05:40:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 05:40:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 05:50:47,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 05:50:47,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 05:50:47,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 06:00:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 06:00:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 06:00:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 06:10:47,10,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 06:10:47,10,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 06:10:47,10,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 06:20:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 06:20:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 06:20:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 06:30:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 06:30:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 06:30:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 06:40:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 06:40:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 06:40:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 06:50:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 06:50:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 06:50:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 07:00:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 07:00:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 07:00:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 07:10:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 07:10:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 07:10:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 07:20:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 07:20:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 07:20:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 07:30:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 07:30:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 07:30:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 07:40:47,4,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 07:40:47,4,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 07:40:47,4,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 07:50:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 07:50:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 07:50:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 08:00:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 08:00:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 08:00:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 08:10:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 08:10:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 08:10:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 08:20:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 08:20:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 08:20:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 08:30:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 08:30:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 08:30:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 08:40:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 08:40:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 08:40:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 08:50:47,11,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 08:50:47,11,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 08:50:47,11,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 09:00:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 09:00:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 09:00:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 09:10:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 09:10:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 09:10:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 09:20:47,13,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 09:20:47,13,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 09:20:47,13,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 09:30:47,14,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 09:30:47,14,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 09:30:47,14,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 09:40:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 09:40:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 09:40:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 09:50:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 09:50:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 09:50:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 10:00:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 10:00:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 10:00:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 10:10:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 10:10:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 10:10:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 10:20:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 10:20:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 10:20:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 10:30:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 10:30:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 10:30:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 10:40:47,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 10:40:47,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 10:40:47,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 10:50:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 10:50:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 10:50:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 11:00:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 11:00:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 11:00:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 11:10:47,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 11:10:47,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 11:10:47,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 11:20:47,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 11:20:47,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 11:20:47,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 11:30:47,4,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 11:30:47,4,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 11:30:47,4,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 11:40:47,4,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 11:40:47,4,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 11:40:47,4,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 11:50:47,15,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 11:50:47,15,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 11:50:47,15,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 12:00:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 12:00:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 12:00:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 12:10:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 12:10:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 12:10:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 12:20:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 12:20:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 12:20:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 12:30:47,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 12:30:47,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 12:30:47,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 12:40:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 12:40:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 12:40:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 12:50:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 12:50:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 12:50:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 13:00:47,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 13:00:47,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 13:00:47,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 13:10:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 13:10:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 13:10:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 13:20:47,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 13:20:47,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 13:20:47,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 13:30:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 13:30:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 13:30:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 13:40:47,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 13:40:47,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 13:40:47,6,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 13:50:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 13:50:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 13:50:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 14:00:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 14:00:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 14:00:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 14:10:47,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 14:10:47,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 14:10:47,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 14:20:47,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 14:20:47,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 14:20:47,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 14:30:48,11,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 14:30:48,11,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 14:30:48,11,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 14:40:48,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 14:40:48,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 14:40:48,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 14:50:48,9,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 14:50:48,9,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 14:50:48,9,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 15:00:48,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 15:00:48,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 15:00:48,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 15:10:48,5,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 15:10:48,5,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 15:10:48,5,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 15:20:48,8,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 15:20:48,8,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 15:20:48,8,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 15:30:48,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 15:30:48,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 15:30:48,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 15:40:48,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 15:40:48,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 15:40:48,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 15:50:48,7,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 15:50:48,7,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 15:50:48,7,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 16:00:48,4,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 16:00:48,4,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 16:00:48,4,,
"rnec-esx-05.registraduria.gov.co","Minimum CPU Load (%)",2022-02-17 16:10:48,6,,"rnec-esx-05.registraduria.gov.co","Peak CPU Load (%)",2022-02-17 16:10:48,6,,"rnec-esx-05.registraduria.gov.co","Average CPU Load (%)",2022-02-17 16:10:48,6,,

