"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19227-Orion.CPULoad.MinLoad,0_Orion.Nodes_19227-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19227-Orion.CPULoad.AvgLoad;&startTime=2020-12-15T10:21:00.000Z&endTime=2022-02-15T22:21:00.000Z"")"
Start,2020-12-15 05:21:00,End,2022-02-15 17:21:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-21 03:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-21 03:51:00,21,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-21 03:51:00,2,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-22 22:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-22 22:36:00,18,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-22 22:36:00,1,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-24 17:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-24 17:21:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-24 17:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-26 12:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-26 12:06:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-26 12:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-28 06:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-28 06:51:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-28 06:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-30 01:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-30 01:36:00,16,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-30 01:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-10-31 20:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-10-31 20:21:00,21,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-10-31 20:21:00,2,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-02 15:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-02 15:06:00,13,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-02 15:06:00,1,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-04 09:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-04 09:51:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-04 09:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-06 04:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-06 04:36:00,10,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-06 04:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-07 23:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-07 23:21:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-07 23:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-09 18:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-09 18:06:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-09 18:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-11 12:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-11 12:51:00,10,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-11 12:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-13 07:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-13 07:36:00,15,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-13 07:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-15 02:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-15 02:21:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-15 02:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-16 21:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-16 21:06:00,10,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-16 21:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-18 15:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-18 15:51:00,24,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-18 15:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-20 10:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-20 10:36:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-20 10:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-22 05:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-22 05:21:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-22 05:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-24 00:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-24 00:06:00,10,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-24 00:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-25 18:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-25 18:51:00,6,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-25 18:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-27 13:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-27 13:36:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-27 13:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-11-29 08:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-11-29 08:21:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-11-29 08:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-01 03:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-01 03:06:00,6,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-01 03:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-02 21:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-02 21:51:00,4,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-02 21:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-04 16:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-04 16:36:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-04 16:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-06 11:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-06 11:21:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-06 11:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-08 06:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-08 06:06:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-08 06:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-10 00:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-10 00:51:00,5,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-10 00:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-11 19:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-11 19:36:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-11 19:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-13 14:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-13 14:21:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-13 14:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-15 09:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-15 09:06:00,6,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-15 09:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-17 03:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-17 03:51:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-17 03:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-18 22:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-18 22:36:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-18 22:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-20 17:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-20 17:21:00,14,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-20 17:21:00,2,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-22 12:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-22 12:06:00,10,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-22 12:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-24 06:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-24 06:51:00,19,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-24 06:51:00,2,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-26 01:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-26 01:36:00,13,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-26 01:36:00,1.5,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-27 20:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-27 20:21:00,6,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-27 20:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-29 15:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-29 15:06:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-29 15:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2021-12-31 09:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2021-12-31 09:51:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2021-12-31 09:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-02 04:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-02 04:36:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-02 04:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-03 23:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-03 23:21:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-03 23:21:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-05 18:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-05 18:06:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-05 18:06:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-07 12:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-07 12:51:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-07 12:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-09 07:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-09 07:36:00,16,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-09 07:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-11 02:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-11 02:21:00,23,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-11 02:21:00,3,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-12 21:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-12 21:06:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-12 21:06:00,1,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-14 15:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-14 15:51:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-14 15:51:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-16 10:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-16 10:36:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-16 10:36:00,0,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-18 05:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-18 05:21:00,14,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-18 05:21:00,0.16666666666666666,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-20 00:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-20 00:06:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-20 00:06:00,0.27906976744186046,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-21 18:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-21 18:51:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-21 18:51:00,0.3107569721115538,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-23 13:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-23 13:36:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-23 13:36:00,0.4186046511627907,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-25 08:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-25 08:21:00,28,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-25 08:21:00,0.34509803921568627,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-27 03:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-27 03:06:00,18,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-27 03:06:00,0.6039215686274509,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-28 21:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-28 21:51:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-28 21:51:00,0.41832669322709165,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-01-30 16:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-01-30 16:36:00,9,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-01-30 16:36:00,0.3215686274509804,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-01 11:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-01 11:21:00,7,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-01 11:21:00,0.34509803921568627,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-03 06:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-03 06:06:00,15,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-03 06:06:00,1.1627906976744187,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-05 00:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-05 00:51:00,10,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-05 00:51:00,0.5258964143426295,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-06 19:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-06 19:36:00,4,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-06 19:36:00,0.18604651162790697,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-08 14:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-08 14:21:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-08 14:21:00,0.3488372093023256,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-10 09:06:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-10 09:06:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-10 09:06:00,0.2015810276679842,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-12 03:51:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-12 03:51:00,8,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-12 03:51:00,0.68359375,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-13 22:36:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-13 22:36:00,12,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-13 22:36:00,0.99609375,,
"RNEC-SW19SQL14","Minimum CPU Load (%)",2022-02-15 17:21:00,0,,"RNEC-SW19SQL14","Peak CPU Load (%)",2022-02-15 17:21:00,13,,"RNEC-SW19SQL14","Average CPU Load (%)",2022-02-15 17:21:00,0.7421875,,

